filename,hour_of_recording,minute_of_hour,SRWA,observer,notes
SWIFT01_20220709_074753,0,50,T,ER,
SWIFT01_20220709_074753,0,10,F,ER,noise from me strapping ARU to tree during initial deployment
SWIFT01_20220709_074753,0,29,F,ER,
SWIFT01_20220709_074753,0,20,F,ER,
SWIFT01_20220709_074753,0,49,T,ER,
SWIFT01_20220709_074753,0,9,F,ER,noise from me strapping ARU to tree during initial deployment
SWIFT01_20220709_074753,0,19,F,ER,
SWIFT01_20220709_074753,0,48,T,ER,
SWIFT01_20220709_074753,0,35,F,ER,
SWIFT01_20220709_074753,0,37,F,ER,"possible SRWA present but not sure, so erred on conservative side"
SWIFT01_20220709_074753,1,50,T,ER,
SWIFT01_20220709_074753,1,26,F,ER,
SWIFT01_20220709_074753,1,29,F,ER,
SWIFT01_20220709_074753,1,20,F,ER,
SWIFT01_20220709_074753,1,56,F,ER,
SWIFT01_20220709_074753,1,51,F,ER,"call right at the end that could POSSIBLY by SRWA, but I think is MIST."
SWIFT01_20220709_074753,1,24,F,ER,
SWIFT01_20220709_074753,1,10,T,ER,
SWIFT01_20220709_074753,1,36,F,ER,
SWIFT01_20220709_074753,1,19,F,ER,
SWIFT01_20220709_094755,0,19,F,ER,
SWIFT01_20220709_094755,0,46,F,ER,
SWIFT01_20220709_094755,0,16,F,ER,noisy-- car passing
SWIFT01_20220709_094755,0,22,T,ER,
SWIFT01_20220709_094755,0,10,F,ER,
SWIFT01_20220709_094755,0,1,F,ER,
SWIFT01_20220709_094755,0,5,F,ER,
SWIFT01_20220709_094755,0,25,F,ER,
SWIFT01_20220709_094755,0,7,F,ER,
SWIFT01_20220709_094755,0,58,F,ER,
SWIFT01_20220709_094755,1,54,T,ER,
SWIFT01_20220709_094755,1,59,T,ER,
SWIFT01_20220709_094755,1,37,T,ER,
SWIFT01_20220709_094755,1,0,F,ER,
SWIFT01_20220709_094755,1,38,T,ER,
SWIFT01_20220709_094755,1,26,F,ER,
SWIFT01_20220709_094755,1,40,F,ER,
SWIFT01_20220709_094755,1,14,F,ER,
SWIFT01_20220709_094755,1,2,F,ER,
SWIFT01_20220709_094755,1,25,T,ER,
SWIFT01_20220709_114758,0,12,T,ER,
SWIFT01_20220709_114758,0,27,T,ER,
SWIFT01_20220709_114758,0,22,T,ER,
SWIFT01_20220709_114758,0,28,T,ER,
SWIFT01_20220709_114758,0,26,T,ER,
SWIFT01_20220709_114758,0,5,T,ER,
SWIFT01_20220709_114758,0,32,T,ER,
SWIFT01_20220709_114758,0,11,F,ER,
SWIFT01_20220709_114758,0,49,T,ER,
SWIFT01_20220709_114758,0,9,T,ER,
SWIFT01_20220709_114758,1,28,F,ER,
SWIFT01_20220709_114758,1,38,T,ER,
SWIFT01_20220709_114758,1,23,F,ER,
SWIFT01_20220709_114758,1,55,T,ER,
SWIFT01_20220709_114758,1,16,T,ER,
SWIFT01_20220709_114758,1,57,T,ER,
SWIFT01_20220709_114758,1,59,T,ER,
SWIFT01_20220709_114758,1,37,T,ER,
SWIFT01_20220709_114758,1,3,T,ER,
SWIFT01_20220709_114758,1,2,T,ER,
