filename,hour_of_recording,minute_of_hour,SRWA,observer,notes
SWIFT01_20230117_080015.wav,0,42,FALSE,WG,
SWIFT01_20230117_080015.wav,0,11,TRUE,WG,
SWIFT01_20230117_080015.wav,0,48,FALSE,WG,
SWIFT01_20230117_080015.wav,0,20,TRUE,WG,
SWIFT01_20230117_080015.wav,1,51,FALSE,WG,
SWIFT01_20230117_080015.wav,1,52,FALSE,WG,
SWIFT01_20230117_080015.wav,1,58,FALSE,WG,
SWIFT01_20230117_080015.wav,1,38,FALSE,WG,
SWIFT01_20220716_171740,0,46,TRUE,WG,
SWIFT01_20220716_171740,0,40,FALSE,AT,
SWIFT01_20220716_171740,0,58,TRUE,AT,
SWIFT01_20220716_171740,0,4,FALSE,AT,
SWIFT01_20220716_171740,1,29,TRUE,AT,
SWIFT01_20220716_171740,1,20,FALSE,AT,
SWIFT01_20220716_171740,1,6,TRUE,AT,
SWIFT01_20220716_171740,1,12,FALSE,AT,
SWIFT01_20220718_040009,0,14,FALSE,AT,
SWIFT01_20220718_040009,0,0,FALSE,AT,
SWIFT01_20220718_040009,0,23,FALSE,AT,
SWIFT01_20220718_040009,0,23,NA,NA,
SWIFT01_20220718_040009,0,17,FALSE,AT,
SWIFT01_20220718_040009,1,0,FALSE,AT,
SWIFT01_20220718_040009,1,59,TRUE,AT,
SWIFT01_20220718_040009,1,49,TRUE,AT,
SWIFT01_20220718_040009,1,38,TRUE,AT,
SWIFT02_20220711_040012,0,25,FALSE,AT,
SWIFT02_20220711_040012,0,51,FALSE,AT,
SWIFT02_20220711_040012,0,56,FALSE,AT,
SWIFT02_20220711_040012,0,9,FALSE,AT,
SWIFT02_20220711_040012,1,56,FALSE,AT,
SWIFT02_20220711_040012,1,5,FALSE,AT,
SWIFT02_20220711_040012,1,34,TRUE,AT,1:34.24-1:34.29
SWIFT02_20220711_040012,1,51,TRUE,AT,1:51.15-1:51.18
SWIFT02_20220728_160025,0,54,TRUE,AT,
SWIFT02_20220728_160025,0,11,TRUE,AT,
SWIFT02_20220728_160025,0,20,FALSE,AT,
SWIFT02_20220728_160025,0,11,NA,,
SWIFT02_20220728_160025,0,35,FALSE,AT,
SWIFT02_20220728_160025,1,53,FALSE,AT,
SWIFT02_20220728_160025,1,50,FALSE,AT,
SWIFT02_20220728_160025,1,19,TRUE,AT,
SWIFT02_20220728_160025,1,35,FALSE,AT,
SWIFT02_20220729_020003,0,1,FALSE,AT,
SWIFT02_20220729_020003,0,55,FALSE,AT,
SWIFT02_20220729_020003,0,32,FALSE,AT,
SWIFT02_20220729_020003,0,32,NA,,
SWIFT02_20220729_020003,0,33,FALSE,AT,
SWIFT02_20220729_020003,1,8,FALSE,AT,
SWIFT02_20220729_020003,1,29,FALSE,AT,
SWIFT02_20220729_020003,1,8,NA,,
SWIFT02_20220729_020003,1,18,FALSE,AT,
SWIFT02_20220729_020003,1,50,FALSE,AT,
SWIFT02_20220729_060010,0,17,TRUE,AT,
SWIFT02_20220729_060010,0,57,FALSE,AT,long fruit dove song @ 57:05- 57:15
SWIFT02_20220729_060010,0,48,FALSE,AT,48:48-48:51
SWIFT02_20220729_060010,0,17,NA,,
SWIFT02_20220729_060010,0,3,TRUE,AT,good recording of SARW: 3:27-3:36
SWIFT02_20220729_060010,1,31,FALSE,AT,
SWIFT02_20220729_060010,1,37,TRUE,AT,
SWIFT02_20220729_060010,1,12,FALSE,AT,
SWIFT02_20220729_060010,1,56,TRUE,AT ,
SWIFT02_20220729_080012,0,56,FALSE,AT,
SWIFT02_20220729_080012,0,10,FALSE,AT,
SWIFT02_20220729_080012,0,12,TRUE,AT,
SWIFT02_20220729_080012,0,39,FALSE,AT,
SWIFT02_20220729_080012,1,27,FALSE,AT,
SWIFT02_20220729_080012,1,19,TRUE,AT,
SWIFT02_20220729_080012,1,56,FALSE,AT,
SWIFT02_20220729_080012,1,10,FALSE,AT,
SWIFT02_20220729_140022,0,21,FALSE,AT,
SWIFT02_20220729_140022,0,54,TRUE,AT,
SWIFT02_20220729_140022,0,23,FALSE,AT,
SWIFT02_20220729_140022,0,10,TRUE,AT,
SWIFT02_20220729_140022,1,45,FALSE,AT,
SWIFT02_20220729_140022,1,53,TRUE,AT,
SWIFT02_20220729_140022,1,16,FALSE,AT,
SWIFT02_20220729_140022,1,52,FALSE,AT,
SWIFT02_20220730_080015,0,57,FALSE,AT,
SWIFT02_20220730_080015,0,20,FALSE,AT,
SWIFT02_20220730_080015,0,6, FALSE,AT,
SWIFT02_20220730_080015,0,36,FALSE,AT,
SWIFT02_20220730_080015,1,11,FALSE,AT,
SWIFT02_20220730_080015,1,19,FALSE,AT,
SWIFT02_20220730_080015,1,14,TRUE,AT,
SWIFT02_20220730_080015,1,11,NA,,
SWIFT02_20220730_080015,1,32,FALSE,AT,
SWIFT01_20230117_100018,0,41,FALSE,AT,
SWIFT01_20230117_100018,0,58,FALSE,AT,
SWIFT01_20230117_100018,0,59,FALSE,AT,
SWIFT01_20230117_100018,0,44,FALSE,AT,
SWIFT01_20230117_100018,1,38,FALSE,AT,
SWIFT01_20230117_100018,1,21,FALSE,AT,
SWIFT01_20230117_100018,1,10,FALSE,AT,
SWIFT01_20230117_100018,1,56,FALSE,AT,
SWIFT01_20230117_120021,0,58,TRUE,AT,
SWIFT01_20230117_120021,0,32,FALSE,AT,MAFD
SWIFT01_20230117_120021,0,19,FALSE,AT,
SWIFT01_20230117_120021,0,18,FALSE,AT,
SWIFT01_20230117_120021,1,12,FALSE,AT,
SWIFT01_20230117_120021,1,31,FALSE,AT,
SWIFT01_20230117_120021,1,43,FALSE,AT,
SWIFT01_20230117_120021,1,33,FALSE,AT,
SWIFT01_20230117_000000,0,28,FALSE,AT,
SWIFT01_20230117_000000,0,52,FALSE,AT,
SWIFT01_20230117_000000,0,4,FALSE,AT,
SWIFT01_20230117_000000,0,42,FALSE,AT,
SWIFT01_20230117_000000,1,39,FALSE,AT,
SWIFT01_20230117_000000,1,17,FALSE,AT,
SWIFT01_20230117_000000,1,40,FALSE,AT,
SWIFT01_20230117_000000,1,58,FALSE,AT,
SWIFT01_20230117_020003,0,55,FALSE,AT,
SWIFT01_20230117_020003,0,13,FALSE,AT,
SWIFT01_20230117_020003,0,19,FALSE,AT,
SWIFT01_20230117_020003,0,0,FALSE,AT,
SWIFT01_20230117_020003,1,24,FALSE,AT,
SWIFT01_20230117_020003,1,42,FALSE,AT,
SWIFT01_20230117_020003,1,46,FALSE,AT,
SWIFT01_20230117_020003,1,16,FALSE,AT,
SWIFT01_20230117_220039,0,57,FALSE,AT,
SWIFT01_20230117_220039,0,49,FALSE,AT,
SWIFT01_20230117_220039,0,36,FALSE,AT,
SWIFT01_20230117_220039,0,40,FALSE,AT,
SWIFT01_20230117_220039,1,56,FALSE,AT,
SWIFT01_20230117_220039,1,12,FALSE,AT,
SWIFT01_20230117_220039,1,5,FALSE,AT,
SWIFT01_20230117_220039,1,33,FALSE,AT,
SWIFT01_20230118_040004,0,19,FALSE,AT,
SWIFT01_20230118_040004,0,50,FALSE,AT,
SWIFT01_20230118_040004,0,48,FALSE,AT,
SWIFT01_20230118_040004,0,19,NA,,
SWIFT01_20230118_040004,0,18,FALSE,AT,
SWIFT01_20230118_040004,1,27,FALSE,AT,
SWIFT01_20230118_040004,1,38,FALSE,AT,
SWIFT01_20230118_040004,1,3,FALSE,AT,
SWIFT01_20230118_040004,1,2,FALSE,AT,
SWIFT01_20230118_060007,0,6,FALSE,AT,
SWIFT01_20230118_060007,0,0,FALSE,AT,
SWIFT01_20230118_060007,0,51,FALSE,AT,
SWIFT01_20230118_060007,0,45,TRUE,AT,
SWIFT01_20230118_060007,1,4,TRUE,AT,
SWIFT01_20230118_060007,1,3,FALSE,AT,
SWIFT01_20230118_060007,1,49,TRUE,AT,
SWIFT01_20230118_060007,1,4,NA,,duplicate minute
SWIFT01_20230118_060007,1,39,FALSE,AT,
SWIFT01_20230118_080010,0,31,FALSE,AT,
SWIFT01_20230118_080010,0,18,FALSE,AT,
SWIFT01_20230118_080010,0,5,FALSE,AT,
SWIFT01_20230118_080010,0,14,FALSE,AT,14:11-14:12??
SWIFT01_20230118_080010,1,24,FALSE,AT,
SWIFT01_20230118_080010,1,59,FALSE,AT,
SWIFT01_20230118_080010,1,9,FALSE,AT,
SWIFT01_20230118_080010,1,47,FALSE,AT,
SWIFT01_20230118_100012,0,19,FALSE,AT,
SWIFT01_20230118_100012,0,45,FALSE,AT,
SWIFT01_20230118_100012,0,50,FALSE,AT,
SWIFT01_20230118_100012,0,26,FALSE,AT,
SWIFT01_20230118_100012,1,4,FALSE,AT,
SWIFT01_20230118_100012,1,25,FALSE,AT,
SWIFT01_20230118_100012,1,5,,,1:05:33
SWIFT01_20230118_100012,1,22,FALSE,AT,
SWIFT01_20230118_140019,0,16,TRUE,AT,
SWIFT01_20230118_140019,0,32,FALSE,AT,
SWIFT01_20230118_140019,0,3,TRUE,AT,
SWIFT01_20230118_140019,0,47,FALSE,AT,
SWIFT01_20230118_140019,1,8,FALSE,AT,
SWIFT01_20230118_140019,1,20,FALSE,AT,
SWIFT01_20230118_140019,1,8,NA,duplicate minute,
SWIFT01_20230118_140019,1,20,NA,duplicate minute,
SWIFT01_20230118_140019,1,51,FALSE,AT,
SWIFT01_20230118_140019,1,30,FALSE,AT,
SWIFT01_20230118_200024,0,39,FALSE,AT,
SWIFT01_20230118_200024,0,28,FALSE,AT,
SWIFT01_20230118_200024,0,10,FALSE,AT,
SWIFT01_20230118_200024,0,22,FALSE,AT,
SWIFT01_20230118_200024,1,22,FALSE,AT,
SWIFT01_20230118_200024,1,42,FALSE,AT,
SWIFT01_20230118_200024,1,26,FALSE,AT,
SWIFT01_20230118_200024,1,15,FALSE,AT,
SWIFT01_20230301_020008,0,43,FALSE,AT,
SWIFT01_20230301_020008,0,43,N/A,duplicate minute,
SWIFT01_20230301_020008,0,45,FALSE,AT,
SWIFT01_20230301_020008,0,24,FALSE,AT,
SWIFT01_20230301_020008,0,37,FALSE,AT,
SWIFT01_20230301_020008,1,31,FALSE,AT,
SWIFT01_20230301_020008,1,22,FALSE,AT,
SWIFT01_20230301_020008,1,42,FALSE,AT,
SWIFT01_20230301_020008,1,16,FALSE,AT,
SWIFT01_20230301_040014,0,0,FALSE,AT,
SWIFT01_20230301_040014,0,9,FALSE,AT,
SWIFT01_20230301_040014,0,53,FALSE,AT,
SWIFT01_20230301_040014,0,48,FALSE,AT,
SWIFT01_20230301_040014,1,31,FALSE,AT,
SWIFT01_20230301_040014,1,58,FALSE,AT,
SWIFT01_20230301_040014,1,9,FALSE,AT,
SWIFT01_20230301_040014,1,28,FALSE,AT,
SWIFT01_20230301_100037,0,4,FALSE,AT,
SWIFT01_20230301_100037,0,8,FALSE,AT,
SWIFT01_20230301_100037,0,12,FALSE,AT,
SWIFT01_20230301_100037,0,39,FALSE,AT,
SWIFT01_20230301_100037,1,10,FALSE,AT,
SWIFT01_20230301_100037,1,42,FALSE,AT,
SWIFT01_20230301_100037,1,29,FALSE,AT,
SWIFT01_20230301_100037,1,2,FALSE,AT,
SWIFT01_20230301_160057,0,18,FALSE,AT,
SWIFT01_20230301_160057,0,12,FALSE,AT,
SWIFT01_20230301_160057,0,35,FALSE,AT,
SWIFT01_20230301_160057,0,22,FALSE,AT,
SWIFT01_20230301_160057,1,5,TRUE,AT,
SWIFT01_20230301_160057,1,21,FALSE,AT,
SWIFT01_20230301_160057,1,25,TRUE,AT,
SWIFT01_20230301_160057,1,18,TRUE,AT,
SWIFT01_20230301_180103,0,16,TRUE,AT,
SWIFT01_20230301_180103,0,44,TRUE,AT,
SWIFT01_20230301_180103,0,32,FALSE,AT,
SWIFT01_20230301_180103,0,43,FALSE,AT,
SWIFT01_20230301_180103,1,10,FALSE,AT,
SWIFT01_20230301_180103,1,57,FALSE,AT,
SWIFT01_20230301_180103,1,21,FALSE,AT,
SWIFT01_20230301_180103,1,44,FALSE,AT,
SWIFT01_20230301_200109,0,4,FALSE,AT,
SWIFT01_20230301_200109,0,55,FALSE,AT,
SWIFT01_20230301_200109,0,36,FALSE,AT,
SWIFT01_20230301_200109,0,18,FALSE,AT,
SWIFT01_20230301_200109,1,54,FALSE,AT,
SWIFT01_20230301_200109,1,7,FALSE,AT,
SWIFT01_20230301_200109,1,2,FALSE,AT,
SWIFT01_20230301_200109,1,54,N/A ,duplicate minute,
SWIFT01_20230301_200109,1,23,FALSE,AT,
,0,17,,,
,0,46,,,
,0,1,,,
,0,12,,,
,1,28,,,
,1,52,,,
,1,52,N/A,duplicate minute,
,1,37,,,
,1,59,,,
,,39,,,
,,35,,,
,,34,,,
,,57,,,
,,46,,,
,,13,,,
,,41,,,
