filename,hour_of_recording,minute_of_hour,SRWA,observer,notes
SWIFT01_20230117_080015,0,42,FALSE,JL,
SWIFT01_20230117_080015,0,11,TRUE,JL,
SWIFT01_20230117_080015,0,48,FALSE,JL,
SWIFT01_20230117_080015,0,20,TRUE,JL,
SWIFT01_20230117_080015,1,51,FALSE,JL,
SWIFT01_20230117_080015,1,52,FALSE,JL,
SWIFT01_20230117_080015,1,58,FALSE,JL,
SWIFT01_20230117_080015,1,38,FALSE,JL,
SWIFT01_20220716_171740,0,46,TRUE,JL,
SWIFT01_20220716_171740,0,40,FALSE,JL,
SWIFT01_20220716_171740,0,58,TRUE,JL,
SWIFT01_20220716_171740,0,4,FALSE,JL,
SWIFT01_20220716_171740,1,29,TRUE,JL,
SWIFT01_20220716_171740,1,20,FALSE,JL,
SWIFT01_20220716_171740,1,6,FALSE,JL,
SWIFT01_20220716_171740,1,12,FALSE,JL,
SWIFT01_20220718_040009,0,14,FALSE,JL,
SWIFT01_20220718_040009,0,0,FALSE,JL,
SWIFT01_20220718_040009,0,23,FALSE,JL,
SWIFT01_20220718_040009,0,23,N/A,JL,
SWIFT01_20220718_040009,0,17,FALSE,JL,
SWIFT01_20220718_040009,1,0,FALSE,JL,
SWIFT01_20220718_040009,1,59,TRUE,JL,
SWIFT01_20220718_040009,1,49,TRUE,JL,
SWIFT01_20220718_040009,1,38,FALSE,JL,
SWIFT02_20220711_040012,0,25,FALSE,JL,
SWIFT02_20220711_040012,0,51,FALSE,JL,
SWIFT02_20220711_040012,0,56,FALSE,JL,
SWIFT02_20220711_040012,0,9,FALSE,JL,
SWIFT02_20220711_040012,1,56,FALSE,JL,
SWIFT02_20220711_040012,1,5,FALSE,JL,
SWIFT02_20220711_040012,1,34,TRUE,JL,
SWIFT02_20220711_040012,1,51,TRUE,JL,
SWIFT02_20220728_160025,0,54,TRUE,JL,
SWIFT02_20220728_160025,0,11,TRUE,JL,
SWIFT02_20220728_160025,0,20,FALSE,JL,
SWIFT02_20220728_160025,0,11,N/A,JL,
SWIFT02_20220728_160025,0,35,FALSE,JL,
SWIFT02_20220728_160025,1,53,TRUE,JL,
SWIFT02_20220728_160025,1,50,FALSE,JL,
SWIFT02_20220728_160025,1,19,TRUE,JL,
SWIFT02_20220728_160025,1,35,FALSE,JL,
SWIFT02_20220729_020003,0,1,FALSE,JL,
SWIFT02_20220729_020003,0,55,FALSE,JL,
SWIFT02_20220729_020003,0,32,FALSE,JL,
SWIFT02_20220729_020003,0,32,NA,JL,
SWIFT02_20220729_020003,0,33,FALSE,JL,
SWIFT02_20220729_020003,1,8,FALSE,JL,
SWIFT02_20220729_020003,1,29,FALSE,JL,
SWIFT02_20220729_020003,1,8,NA,JL,
SWIFT02_20220729_020003,1,18,FALSE,JL,
SWIFT02_20220729_020003,1,50,FALSE,JL,
SWIFT02_20220729_060010,0,17,TRUE,JL,
SWIFT02_20220729_060010,0,57,TRUE,JL,
SWIFT02_20220729_060010,0,48,FALSE,JL,
SWIFT02_20220729_060010,0,17,NA,JL,
SWIFT02_20220729_060010,0,3,TRUE,JL,
SWIFT02_20220729_060010,1,31,FALSE,JL,
SWIFT02_20220729_060010,1,37,TRUE,JL,
SWIFT02_20220729_060010,1,12,TRUE,JL,
SWIFT02_20220729_060010,1,56,TRUE,JL,
SWIFT02_20220729_080012,0,56,FALSE,JL,
